make: Leaving directory `/home/bitnami/cbb520/shortyjm/k100'
root@linux:~/cbb520/shortyjm# ls
k100  k20  k24  k28  k32  k36  k40  k44  k48  k52  k56  k60  k64  k68  k72  k76  k80  k84  k88  k92  k96  short_yjm993_R1.fastq
k17   k21  k25  k29  k33  k37  k41  k45  k49  k53  k57  k61  k65  k69  k73  k77  k81  k85  k89  k93  k97  short_yjm993_R2.fastq
k18   k22  k26  k30  k34  k38  k42  k46  k50  k54  k58  k62  k66  k70  k74  k78  k82  k86  k90  k94  k98
k19   k23  k27  k31  k35  k39  k43  k47  k51  k55  k59  k63  k67  k71  k75  k79  k83  k87  k91  k95  k99


root@linux:~/cbb520/shortyjm# abyss-fac k*/short_yjm993-contigs.fa

n       n:500   n:N50   min     N80     N50     N20     E-size  max     sum     name
17      4       2       540     632     754     956     754     956     2882    k100/short_yjm993-contigs.fa
149638  221     99      500     519     563     641     608     1554    129081  k17/short_yjm993-contigs.fa
75834   2607    1060    500     546     644     837     721     2822    1740586 k18/short_yjm993-contigs.fa
48881   4876    1808    500     582     754     1079    879     7896    3721156 k19/short_yjm993-contigs.fa
39258   5597    1979    500     605     814     1233    961     7800    4557249 k20/short_yjm993-contigs.fa
35408   5702    1982    500     619     844     1286    1006    7497    4784969 k21/short_yjm993-contigs.fa
33273   5687    1974    500     619     847     1291    1008    5756    4787842 k22/short_yjm993-contigs.fa
32228   5621    1952    500     620     847     1275    1015    8134    4731440 k23/short_yjm993-contigs.fa
31977   5532    1934    500     618     837     1263    1010    8601    4621116 k24/short_yjm993-contigs.fa
31412   5417    1889    500     614     832     1258    1020    8979    4503966 k25/short_yjm993-contigs.fa
31487   5299    1863    500     608     819     1234    1013    8512    4354215 k26/short_yjm993-contigs.fa
31581   5166    1817    500     603     806     1224    1010    9180    4204499 k27/short_yjm993-contigs.fa
31728   5058    1795    500     597     791     1197    1028    12632   4064962 k28/short_yjm993-contigs.fa
31945   4898    1730    500     594     784     1178    1065    13201   3910354 k29/short_yjm993-contigs.fa
32255   4749    1686    500     592     775     1158    1052    13232   3763360 k30/short_yjm993-contigs.fa
32597   4552    1626    500     589     769     1136    1079    15060   3582185 k31/short_yjm993-contigs.fa
32978   4393    1574    500     585     760     1129    1154    23065   3433164 k32/short_yjm993-contigs.fa
33394   4237    1521    500     581     746     1112    1219    27122   3278956 k33/short_yjm993-contigs.fa
33895   4002    1444    500     577     739     1093    1194    23038   3074166 k34/short_yjm993-contigs.fa
34316   3848    1394    500     574     732     1066    1187    23122   2921514 k35/short_yjm993-contigs.fa
34725   3652    1331    500     572     719     1047    1244    23160   2753745 k36/short_yjm993-contigs.fa
35153   3449    1256    500     569     714     1029    1288    27226   2584583 k37/short_yjm993-contigs.fa
35483   3233    1178    500     568     703     1014    1450    25328   2411479 k38/short_yjm993-contigs.fa
35869   3032    1107    500     564     694     1002    1504    25301   2242451 k39/short_yjm993-contigs.fa
36277   2808    1030    500     564     689     987     1811    35765   2069973 k40/short_yjm993-contigs.fa
36609   2600    944     500     561     687     991     1878    33800   1917989 k41/short_yjm993-contigs.fa
36942   2441    898     500     557     675     955     1660    25394   1776646 k42/short_yjm993-contigs.fa
37193   2265    823     500     555     673     952     3704    68227   1649232 k43/short_yjm993-contigs.fa
37365   2083    755     500     554     666     950     4897    78755   1514759 k44/short_yjm993-contigs.fa
37558   1881    682     500     553     665     956     5328    78803   1372819 k45/short_yjm993-contigs.fa
37611   1683    599     500     553     665     948     3346    41603   1233598 k46/short_yjm993-contigs.fa
37519   1521    535     500     552     661     973     3593    41530   1117871 k47/short_yjm993-contigs.fa
37299   1364    473     500     551     658     1020    3901    41568   1009001 k48/short_yjm993-contigs.fa
36862   1228    419     500     551     654     1053    3968    41541   915312  k49/short_yjm993-contigs.fa
36268   1099    366     500     548     654     1094    7680    75137   826765  k50/short_yjm993-contigs.fa
